Context,Utterance,Paraphrase
"""This not West as Alin described. [SEP] This horrible. We must go back home. [SEP] No, we continue mission.""",You lose Eiffel Tower!,"I'm sorry, but it seems that we may have taken a wrong turn and ended up in an unpleasant location. Perhaps we should consider returning home."
,You're using pirates?,Are you utilizing individuals who engage in piracy?
,I still beat you.,I believe I may have won that competition.
I still beat you.,"""Hold still, I'll beat you soon.""",I believe I may have won this time.
,"""You are angry with me, my father?""","May I ask if you are upset with me, father?"
"""You are angry with me, my father?""","""Oh, why do you ask question?""","I'm sorry, could you please clarify your question?"
Corvina fish and Ambrosia casserole!,"""Oh my, it looks so tasty!""","Wow, this dish appears to be quite appetizing!"
"""That's it, Johnny. Go for it. [SEP] Come on, Johnny! [SEP] You can do it. Come on!""","""Use your arms. Fly like an eagle, baby.""","Please utilize your arms and soar like an eagle, my dear."
,Go away. Let me,"Excuse me, could you please give me some space?"
How's that for a little sparkle? [SEP] That's a lot of sparkle.,Why'd you get a black diamond?,May I ask what inspired you to choose a black diamond?
How's that for a little sparkle? [SEP] That's a lot of sparkle. [SEP] Why'd you get a black diamond?,Because you're not like anyone else.,It's because you have a unique taste and style.
What did you think of the play tonight?,"""Well, coach?""",May I ask for your thoughts on the play tonight?
"""What did you think of the play tonight? [SEP] Well, coach?""",The drama?,"What were your thoughts on the performance this evening, coach?"
,Why couldn't you survive another day?,Is there any reason why you were unable to make it through another day?
Why couldn't you survive another day?,The war is fucking over.,The war has come to an end.
,Are you nuts?!,May I ask if you are feeling okay?
It's probably the ice maker making ice? [SEP] I'll go check on it.,Humph.,I'm not sure what's causing the noise.
,Dammit! Shit!,Oh no! Darn!
Dammit! Shit!,Bring me up.,Could you please bring me up?
,Well.,"Hmm, I see."
"""Sir, what do we do with that picture?""",Throw it away.,I suggest disposing of it.
,What the fuck are you?,"Excuse me, may I ask who you are?"
What the fuck are you?,I'm your worst nightmare.,I am someone who may cause you great fear and discomfort.
,Hello. What?,"Excuse me, may I ask what you need?"
,Jesus! What's the matter with you?,"Excuse me, is everything alright with you?"
,You feel that?,Do you sense that?
,what's that?,May I ask what that is?
Hurry up,Make way!,Please move quickly.
,Chueh Yuan!,"Excuse me, may I have your attention?"
,I meant no harm.,I did not intend to cause any offense or harm.
,Ring again.,Could you please try calling again?
,Where did you learn that?,May I ask where you acquired that knowledge?
Where did you learn that?,Some of us were actually paying attention in health class.,A few of us were attentive during the health class and gained knowledge from it.
,God damn it!,Oh my goodness!
God damn it! [SEP] The hospital's that way.,Fucking other way.,The correct direction is in the opposite direction.
It moves. Its moving now.,What's going on? Why is it so heavy?,"Excuse me, may I ask what is happening? Is there a reason for its weight?"
"""Madam, were you there when they were fighting?""",Who got beaten!,"Excuse me, may I ask who was involved in the altercation?"
,Court!,"Excuse me, may I have the attention of the court?"
,Try to hit it!,Please attempt to strike it.
Try to hit it!,Leave it alone!,Please refrain from touching it.
Do we run? [SEP] Sergeant. Can we stretch our legs? [SEP] All right. Get down.,"""Corporal, watch them.""","Corporal, please keep an eye on them."
,Was I the only one who couldn't sleep that night?,Did anyone else have trouble sleeping that night or was it just me?
,Freeze.,Could you please stop moving for a moment?
"""Good day, sir.""",Madam.,"Good day, ma'am."
,Where do you want to put this bad boy?,Where would you like to place this item?
,Another one?,"May I have another one, please?"
"""Come on, move!""",Keep moving.,Please continue to move.
"""Come on, move! [SEP] Keep moving.""",We're not going to make it!,I'm afraid we may not arrive on time.
And this is my father and my older brother.,"""What's the use of all this studying, Dad?""","May I ask, Father, what is the purpose of dedicating oneself to studying?"
,"""Stop, Dave.""","Dave, could you please pause for a moment?"
"""Stop, Dave.""","""Will you stop, Dave?""","Dave, would you mind stopping?"
,"""Well, you're the man of the house and I'm not coming in until you invite me.""","It would be appreciated if you could extend an invitation for me to enter, as you are the head of the household."
,Rather than tell me how wrong I was to close certain afd's maybe your time would be better spent dealing with the current afd backlog <url>. If my decisions were so wrong why haven't you re-opened them?,"Instead of criticizing my decision to close certain afd's, perhaps you could focus on addressing the current afd backlog <url>. If my decisions were incorrect, I would appreciate it if you could explain why they haven't been reopened."
,Where is my passport?,"Excuse me, may I inquire about the whereabouts of my passport?"
,You came?,Did you happen to arrive?
,What's going?,May I inquire about the current situation?
What's going?,Victoria!,"Excuse me, may I ask if Victoria is present or available?"
,Someone like you wouldn't understand.,I'm not sure if I can fully explain it to you.
Someone like you wouldn't understand.,You wouldn't.,I'm afraid you may not fully comprehend.
,You can't catch me so easily?,Is it difficult to catch me?
You can't catch me so easily?,"""Ironman, you may rest in peace.""","Ironman, may you find eternal peace."
,He's still got the youtube link on there even after your reversion. How does once vs. 25 times or so make any difference?,Is it possible that the youtube link was not removed despite the reversion? I'm curious if the number of times it was posted has any impact.
Darn it,Where exactly is my letter?,"Excuse me, may I inquire about the whereabouts of my letter?"
,How can she do that?,I'm curious as to how she is able to accomplish that.
How can she do that?,Hiding it from her husband as long as possible.,Keeping it a secret from her spouse for as much time as feasible.
,And me?,What about myself?
,"""For Christ's sake, Lieutenant!""","""Goodness gracious, Lieutenant!"""
"""For Christ's sake, Lieutenant!""",You don't have the authority to have this man shot.,I'm afraid that it's not within your jurisdiction to order the execution of this individual.
"""Come on, baby.""",What are you afraid of?,May I ask what is causing your hesitation?
,Why would a lady come here at this late hour?,May I ask what brings a woman to this place at such a late time?
Why would a lady come here at this late hour?,Why would the scholar return to this place?,May I ask what brings the scholar back to this location at this time?
,No idea what's wrong with this crate.,I am unsure of the issue with this crate.
,Cut it out!,Please stop doing that.
Cut it out!,"""I said, cut it out!""",Could you please stop doing that?
"""What would you do if I died, Dad?""",I can't even answer that question.,"I'm sorry, but I find it difficult to respond to that inquiry."
,"""Here, you do it.""",Would you like me to assist you with that task?
"""Here, you do it.""",Youssef.,"Youssef, would you mind taking care of this task?"
,"""You keep coming, huh?""",It's nice to see you again.
,So the original self!,"Ah, the authentic self!"
,Who lived here before?,May I ask who used to reside in this place previously?
,Your infatuation will fade and you will find others to love.,Your feelings may change over time and you may develop affection for other people.
,tell me!,Could you please share that information with me?
,Why are you throwing them away?,May I ask the reason for disposing of them?
Why are you throwing them away?,What is going on?,May I ask what is happening?
